Fund Code,Date,Cash Flow,Expenses,ROC,Dist. Sub. To Recall,Income,Growth,Book,NAV,Commitment,Qtr Valuation,Notes,Type
BCPE112014,4/1/14, $-   ,,,,, $-   ,,,5000000,,Initial Commitment,
BCPE112014,4/30/14,-587500,,,,, $-   ,587500,587500,-587500,,,
BCPE112014,5/30/14,50000,,50000,50000,, $-   ,-50000,-50000,50000,,,
BCPE112014,10/1/14,-150000,,,,, $-   ,150000,150000,-150000,,,
BCPE112014,11/25/14,-125000,,,,, $-   ,125000,125000,-125000,,,
BCPE112014,12/31/14, $-   ,,,,,-39653, $-   ,-39653, $-   ,772847,,
BCPE112014,6/19/15,61079,,42755,50899,18324, $-   ,-42755,-61079,50899,,,
BCPE112014,6/25/15,-387500,,,,, $-   ,387500,387500,-387500,,,
BCPE112014,7/15/15,-350000,,,,, $-   ,350000,350000,-350000,,,
BCPE112014,10/15/15,-37500,,,,, $-   ,37500,37500,-37500,,,
BCPE112014,11/4/15,-37500,,,,, $-   ,37500,37500,-37500,,,
BCPE112014,12/8/15,-187500,,,,, $-   ,187500,187500,-187500,,,
BCPE112014,12/31/15, $-   ,,,,,188397, $-   ,188397, $-   ,1900165,,
BCPE112014,1/12/16,-312500,,,,, $-   ,312500,312500,-312500,,,
BCPE112014,2/2/16,-100000,,,,, $-   ,100000,100000,-100000,,,
BCPE112014,4/5/16,-25000,,,,, $-   ,25000,25000,-25000,,,
BCPE112014,8/11/16,678982,,86269,223384,592713, $-   ,-86269,-678982,223384,,,
BCPE112014,8/25/16,166599,,166599,54811,, $-   ,-166599,-166599,54811,,,
BCPE112014,9/2/16,111675,,100000,100000,11675, $-   ,-100000,-111675,100000,,,
BCPE112014,10/26/16,-137500,,,,, $-   ,137500,137500,-137500,,,
BCPE112014,12/23/16,-275000,,,,, $-   ,275000,275000,-275000,,,
BCPE112014,12/31/16, $-   ,,,,,752839, $-   ,752839, $-   ,2545748,,
BCPE112014,2/15/17,-162500,,,,, $-   ,162500,162500,-162500,,,
BCPE112014,3/13/17,-175000,,,,, $-   ,175000,175000,-175000,,,
