Fund,Capital Commited,Called,Called %,Distributed,NAV,Total Value,DPI,TVPI,IRR
BBPE042011AF,3000000,2526712,0.8422373333333333,1138417,2292348,3430765,0.45055273414619473,1.3577981978159759,0.08464016811023561
BBPE042011M1,5000000,4211188,0.8422376,1897362,3820581,5717943,0.4505526706478077,1.357798084531016,0.08464014427780918
BCMZ022013BG,2000000,1805000,0.9025,419118,1646457,2065575,0.2321983379501385,1.1443628808864266,0.07285088605266934
BCMZ022013MI,2000000,1805000,0.9025,419118,1646457,2065575,0.2321983379501385,1.1443628808864266,0.07285088605266934
BCPE112014,5000000,4450000,0.89,685872,4456171,5142043,0.1541285393258427,1.1555152808988765,0.09569557004010236
BEEN032017GB,3000000,2273211,0.757737,54062,2875082,2929144,0.02378221819267987,1.2885491052084475,0.35261171382474066
BSMZ022015GB,5000000,3526373,0.7052746,857596,3243857,4101453,0.24319492010629618,1.1630797422734351,0.10522234202815572
CCDD052013AF,2500000,3319911,1.3279644,2724988,2049218,4774206,0.8208015214865699,1.438052405621717,0.13761760293097847
CCDD052013BG,2000000,2655930,1.327965,2186809,1639374,3826183,0.8233684622712195,1.4406189169142258,0.1388015266011514
CCDD062016AF,3500000,1753875,0.5011071428571429,311380,1490664,1802044,0.17753830803221438,1.0274643289858172,0.042833550516832825
CSPE032015AF,2780866,1245866,0.44801367631521977,0,1458174,1458174,0.0,1.1704099798854772,0.1532757018607038
CSPE032015BG,1500000,744852,0.496568,72832,555234,628066,0.0977804986762471,0.8432091207380795,-0.19818845981190292
CSPE032015GB,3120000,1549292,0.49656794871794874,151491,1299478,1450969,0.0977807927750224,0.9365368181078841,-0.07885300718681575
CSPE032015MS,6000000,2979411,0.4965685,291329,2220954,2512283,0.09778073585685225,0.8432146488013906,-0.19818131690873733
DWPE042016M2,4500000,2907939,0.6462086666666667,140888,3169396,3310284,0.048449434462002124,1.138360880334835,0.2384382080925758
GSVD022013M1,5000000,4762299,0.9524598,6710000,3730346,10440346,1.4089833502684312,2.192291160214846,0.2442028719487605
GSVD032014M2,2500000,2376358,0.9505432,787501,3105685,3893186,0.3313898831741682,1.6382994481471227,0.23053912930318576
GSVD052018GB,2000000,100000,0.05,0,100000,100000,0.0,1.0,-4.5454545454742306e-06
GVVC012015M2,1000000,716062,0.716062,0,911930,911930,0.0,1.2735349732285752,0.11486069353711549
GVVC022017M2,2000000,640000,0.32,0,617837,617837,0.0,0.9653703125,-0.06714127611280919
HEPE032013AF,2500000,2225796,0.8903184,585293,2634431,3219724,0.2629589594014905,1.4465494591597792,0.2749103838673866
HEPE032013M2,5000000,4451591,0.8903182,1170587,5258160,6428747,0.2629592431110585,1.444145924457121,0.2666229123684521
LHGP012015AF,1950000,1469315,0.7534948717948718,1399146,893712,2292858,0.9522437326237057,1.5604945161520845,0.5085817175367093
LHGP012015BG,1300000,979543,0.7534946153846154,941265,410332,1351597,0.9609225934951299,1.3798240608120318,0.3450003611250559
MPPE012015GB,5000000,2466980,0.493396,0,2502279,2502279,0.0,1.0143085878280327,0.011789836864217133
NHPE012013,5000000,2491899,0.4983798,107709,1995278,2102987,0.04322366195419638,0.8439294690515146,-0.0912999738325018
NHPE012013AF,2500000,1655600,0.66224,0,1638273,1638273,0.0,0.9895343078038173,-0.006591690477049747
NHPE012013BG,1800000,1214046,0.67447,21975,734482,756457,0.018100632101254812,0.6230875930566058,-0.34598357231428617
